"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2012030221","20122013","P",2013-05-16,"3","6",2,3,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030222","20122013","P",2013-05-19,"3","6",2,5,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030223","20122013","P",2013-05-21,"6","3",2,1,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030224","20122013","P",2013-05-23,"6","3",3,4,"home win OT","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030225","20122013","P",2013-05-25,"3","6",1,3,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020037","20122013","R",2013-01-24,"6","3",3,4,"home win OT","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020380","20132014","R",2013-11-29,"3","6",2,3,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020179","20122013","R",2013-02-13,"3","6",4,3,"away win SO","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020004","20122013","R",2013-01-20,"3","6",1,3,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013030113","20132014","P",2014-04-22,"6","17",3,0,"away win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2013030114","20132014","P",2014-04-25,"6","17",3,2,"away win OT","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2013030111","20132014","P",2014-04-18,"17","6",1,0,"away win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013030112","20132014","P",2014-04-20,"17","6",1,4,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013030115","20132014","P",2014-04-26,"17","6",2,4,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020916","20132014","R",2014-03-03,"6","3",6,3,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020317","20132014","R",2013-11-20,"6","3",2,1,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013021141","20132014","R",2014-04-03,"6","17",2,3,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2013020370","20132014","R",2013-11-28,"6","17",1,6,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2013020021","20132014","R",2013-10-05,"17","6",1,4,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020079","20132014","R",2013-10-14,"17","6",3,2,"away win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
